D2Bridge Framework
by Talis Jonatas Gomes
https://www.d2bridge.com.br

LOG Started in 02/09/2024 21:20:09

02/09/2024 21:20:25 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:25 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A16BF1 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:25 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A28F60 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:25 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:25 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:25 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A16BF1 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:25 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A28F60 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:25 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:25 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:25 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A16BF1 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:25 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A28F60 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A16BF1 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A28F60 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A16BF1 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A28F60 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A16BF1 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A28F60 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A16BF1 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A28F60 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A16BF1 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A28F60 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A16BF1 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A28F60 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A16BF1 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A28F60 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A16BF1 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A28F60 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A16BF1 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A28F60 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A16BF1 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A28F60 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A16BF1 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A28F60 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A16BF1 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A28F60 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A16BF1 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A28F60 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A16BF1 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A28F60 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A16BF1 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A28F60 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A16BF1 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A28F60 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A16BF1 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A28F60 in module 'ContasWeb.exe'. Read of address 00000004
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A29048 in module 'ContasWeb.exe'. Read of address 00000055
02/09/2024 21:20:26 | Identy = main | Event = PrismFormUpdateControls | Error = Access violation at address 00A16BF1 in module 'ContasWeb.exe'. Read of address 00000004
